id;name;price;unit;category
PRD-001;Клавіатура механічна;1499.50;шт;Периферія
PRD-002;Миша бездротова;750.00;шт;Периферія
PRD-003;Монітор 27 IPS;8200.00;шт;Монітори
PRD-004;Кабель HDMI 2.0;180.00;шт;Аксесуари
PRD-005;Навушники ігрові;2100.99;шт;Аудіо
PRD-006;Килимок для миші;250.00;шт;Аксесуари
PRD-007;Флешка USB 64GB;320.00;шт;Носії даних
PRD-008;Веб-камера FHD;1450.00;шт;Периферія
PRD-009;Мікрофон студійний;3100.00;шт;Аудіо
PRD-010;Підставка під ноутбук;590.00;шт;Аксесуари
PRD-011;Колонки 2.0;980.00;компл;Аудіо
PRD-012;Блок живлення 650W
PRD-013;;500.00;шт;Аксесуари
PRD-014;USB-хаб 4 порти;безкоштовно;шт;Периферія
